127.0.0.1 - - [06/Feb/2015:17:29:10 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Feb/2015:17:29:14 -0300] "GET /chromia/ HTTP/1.1" 200 4031
0:0:0:0:0:0:0:1 - - [06/Feb/2015:17:29:22 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2015:17:29:22 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2015:17:29:22 -0300] "GET /chromia/faces/javax.faces.resource/theme.css?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2015:17:29:22 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2015:17:29:22 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2015:17:29:23 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_35_222222_1x100.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2015:17:29:23 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_44_444444_1x100.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2015:17:29:23 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_loop_25_000000_21x21.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2015:17:29:23 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [06/Feb/2015:17:29:23 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [06/Feb/2015:17:30:42 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_33_003147_1x100.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2015:17:30:42 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-hard_20_0972a5_1x100.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2015:17:30:43 -0300] "POST /chromia/faces/login.xhtml HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [06/Feb/2015:17:30:43 -0300] "GET /chromia/faces/javax.faces.resource/messages/messages.png?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2015:17:30:43 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_80_eeeeee_1x100.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2015:17:30:47 -0300] "GET /chromia/faces/pages/inicio.xhtml HTTP/1.1" 200 31671
0:0:0:0:0:0:0:1 - - [06/Feb/2015:17:30:47 -0300] "GET /chromia/faces/javax.faces.resource/theme.css?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2015:17:30:47 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2015:17:30:47 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
