127.0.0.1 - - [04/Feb/2015:00:31:47 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:34:38 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_35_222222_1x100.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:34:38 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_ffffff_256x240.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:34:38 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-hard_20_0972a5_1x100.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:34:38 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_33_003147_1x100.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:34:42 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_222222_256x240.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:34:42 -0300] "POST /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 11224
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:34:42 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_flat_50_5c5c5c_40x100.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:38:11 -0300] "POST /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:38:16 -0300] "POST /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 12265
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:38:48 -0300] "POST /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:38:53 -0300] "POST /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:39:02 -0300] "POST /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 28675
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:39:33 -0300] "POST /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:39:39 -0300] "POST /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 11308
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:39:43 -0300] "POST /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:39:47 -0300] "POST /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 11308
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:39:50 -0300] "POST /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:40:27 -0300] "POST /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 11308
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:41:29 -0300] "POST /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 33592
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:41:37 -0300] "POST /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 22749
0:0:0:0:0:0:0:1 - - [04/Feb/2015:01:00:21 -0300] "POST /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 11389
0:0:0:0:0:0:0:1 - - [04/Feb/2015:01:00:24 -0300] "POST /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 30517
0:0:0:0:0:0:0:1 - - [04/Feb/2015:01:00:26 -0300] "GET /chromia/faces/javax.faces.resource/messages/messages.png?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:01:00:43 -0300] "POST /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 11389
0:0:0:0:0:0:0:1 - - [04/Feb/2015:01:00:46 -0300] "POST /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [04/Feb/2015:01:00:50 -0300] "POST /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 12092
0:0:0:0:0:0:0:1 - - [04/Feb/2015:01:01:08 -0300] "POST /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 30551
0:0:0:0:0:0:0:1 - - [04/Feb/2015:01:01:25 -0300] "POST /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [04/Feb/2015:01:01:27 -0300] "POST /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 27780
0:0:0:0:0:0:0:1 - - [04/Feb/2015:01:08:19 -0300] "GET /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 88073
0:0:0:0:0:0:0:1 - - [04/Feb/2015:01:08:19 -0300] "GET /chromia/faces/javax.faces.resource/theme.css?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:01:08:19 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:01:08:19 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:01:08:19 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:01:08:19 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:01:08:19 -0300] "GET /chromia/resources/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:01:08:19 -0300] "GET /chromia/resources/css/cssLayout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:01:08:19 -0300] "GET /chromia/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:01:08:19 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_cccccc_256x240.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:01:08:19 -0300] "GET /chromia/resources/images/negro.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:01:08:19 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_44_444444_1x100.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
