127.0.0.1 - - [14/Jul/2015:21:54:40 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:56:29 -0300] "GET /chromia/resources/css/default.css HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:56:29 -0300] "GET /chromia/faces/javax.faces.resource/theme.css?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:56:29 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:56:29 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-hard_15_888888_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:56:29 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_gloss-wave_16_121212_500x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:56:29 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_bbbbbb_256x240.png?ln=primefaces-vader HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:56:29 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_35_adadad_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:56:29 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-hard_55_555555_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:56:29 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_aaaaaa_256x240.png?ln=primefaces-vader HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:56:29 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_666666_256x240.png?ln=primefaces-vader HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:56:29 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_cccccc_256x240.png?ln=primefaces-vader HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:56:29 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_60_dddddd_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:56:29 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_c98000_256x240.png?ln=primefaces-vader HTTP/1.1" 200 5355
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:57:58 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_inset-soft_15_121212_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:57:58 -0300] "POST /chromia/faces/pages/inicio.xhtml HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:57:59 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_flat_0_aaaaaa_40x100.png?ln=primefaces-vader HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:03 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_f29a00_256x240.png?ln=primefaces-vader HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:03 -0300] "POST /chromia/faces/pages/inicio.xhtml HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:11 -0300] "POST /chromia/faces/pages/inicio.xhtml HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:22 -0300] "POST /chromia/faces/pages/inicio.xhtml HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:35 -0300] "POST /chromia/faces/pages/inicio.xhtml HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:42 -0300] "GET /chromia/faces/pages/mantenimiento/proveedor.xhtml HTTP/1.1" 200 87736
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:42 -0300] "GET /chromia/faces/javax.faces.resource/theme.css?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:42 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:42 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:42 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:42 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:42 -0300] "GET /chromia/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 200 108456
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:42 -0300] "GET /chromia/resources/images/pdf.png?pfdrid_c=true HTTP/1.1" 200 1550
