127.0.0.1 - - [07/Feb/2015:21:37:44 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [07/Feb/2015:21:37:47 -0300] "GET /chromia/ HTTP/1.1" 200 4030
0:0:0:0:0:0:0:1 - - [07/Feb/2015:21:37:55 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2015:21:37:55 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2015:21:37:55 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2015:21:37:55 -0300] "GET /chromia/faces/javax.faces.resource/theme.css?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2015:21:37:55 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2015:21:37:55 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_loop_25_000000_21x21.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2015:21:37:55 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_44_444444_1x100.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2015:21:37:55 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_35_222222_1x100.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2015:21:37:55 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Feb/2015:21:37:55 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Feb/2015:21:37:57 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_33_003147_1x100.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2015:21:38:02 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-hard_20_0972a5_1x100.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2015:21:38:03 -0300] "POST /chromia/faces/login.xhtml HTTP/1.1" 200 584
